neighborhood,hrs,Tmean,Tsd,count
1,12am-4am,26.853075900945946,1.8500200629292753,77
1,12pm-4pm,28.990043283835618,2.8595244085435123,77
1,4am-8am,26.629591216216216,1.7738015299150038,77
1,4pm-8pm,29.161787852112674,2.791682091829075,77
1,8am-12pm,28.34322624391892,2.828215992414889,77
1,8pm-12am,27.823016554054053,1.9938666413409354,77
2,12am-4am,25.617856282578124,2.7628211668511318,133
2,12pm-4pm,28.48892319131783,2.4080447478368687,133
2,4am-8am,26.147170170390623,2.103356870218889,133
2,4pm-8pm,28.365367849615385,2.3248751578332785,133
2,8am-12pm,27.872147763203124,1.9529796026808524,133
2,8pm-12am,26.844818883565893,2.489436136641956,133
3,12am-4am,26.412927714621212,1.9156269434438882,140
3,12pm-4pm,28.878037109375,3.2223530871225052,140
3,4am-8am,26.338153307862594,1.9411421361651395,140
3,4pm-8pm,29.188413162348485,2.5988788212771463,140
3,8am-12pm,27.927300384122137,2.9851010304321512,140
3,8pm-12am,27.789825684696968,1.9111356550319352,140
4,12am-4am,26.863948942307694,2.073077395541477,133
4,12pm-4pm,29.26638476387597,2.4934706143139733,133
4,4am-8am,27.014722559153846,1.967095425777493,133
4,4pm-8pm,29.077074255923076,2.2304650468385336,133
4,8am-12pm,28.2088689403125,2.1635636442558397,133
4,8pm-12am,27.593144391,2.088101821080672,133
5,12am-4am,26.44397804054054,4.555123514515815,77
5,12pm-4pm,27.319775112567566,2.4678078379001662,77
5,4am-8am,26.045465847972974,3.4876225994155563,77
5,4pm-8pm,27.907450047297296,2.8329982630618287,77
5,8am-12pm,27.05158123837838,2.480807919044737,77
5,8pm-12am,27.026744932432432,3.217396200181491,77
